State,Entity_Level,Entity,Metric_type,Count,Amount,Year,Quarter
andhra-pradesh,district,anantapur,TOTAL,14447683,34102037972.65785,2020,3
andhra-pradesh,district,chittoor,TOTAL,20501863,42811566246.16463,2020,3
andhra-pradesh,district,east godavari,TOTAL,17972431,39300043804.75851,2020,3
andhra-pradesh,district,guntur,TOTAL,17601395,42531195809.75448,2020,3
andhra-pradesh,district,krishna,TOTAL,19110457,44788458672.08444,2020,3
andhra-pradesh,district,kurnool,TOTAL,13243292,32529351107.17173,2020,3
andhra-pradesh,district,prakasam,TOTAL,12266310,31221704852.44969,2020,3
andhra-pradesh,district,spsr nellore,TOTAL,16468209,39128324534.03021,2020,3
andhra-pradesh,district,visakhapatnam,TOTAL,34421299,67628440368.111465,2020,3
andhra-pradesh,district,ysr,TOTAL,11934653,32037007334.12973,2020,3
andhra-pradesh,district,anantapur,TOTAL,20996384,49732610814.26222,2020,4
andhra-pradesh,district,chittoor,TOTAL,29590411,61505711149.79541,2020,4
andhra-pradesh,district,east godavari,TOTAL,25989490,58732615663.11841,2020,4
andhra-pradesh,district,guntur,TOTAL,26136538,60641872021.25432,2020,4
andhra-pradesh,district,krishna,TOTAL,27981050,64461504667.60722,2020,4
andhra-pradesh,district,kurnool,TOTAL,18737323,44718203115.22612,2020,4
andhra-pradesh,district,prakasam,TOTAL,16176867,41852443493.5154,2020,4
andhra-pradesh,district,spsr nellore,TOTAL,20934374,49115443663.37911,2020,4
andhra-pradesh,district,visakhapatnam,TOTAL,46551467,91879823025.404,2020,4
andhra-pradesh,district,ysr,TOTAL,15676878,42572974713.440254,2020,4
andhra-pradesh,district,anantapur,TOTAL,20102957,48353870395.01808,2021,1
andhra-pradesh,district,chittoor,TOTAL,29342609,60947491846.66088,2021,1
andhra-pradesh,district,east godavari,TOTAL,26190701,60027984987.96951,2021,1
andhra-pradesh,district,guntur,TOTAL,27445045,64207987853.108406,2021,1
andhra-pradesh,district,krishna,TOTAL,29717175,69715406644.53484,2021,1
andhra-pradesh,district,kurnool,TOTAL,17918524,44941629659.56964,2021,1
andhra-pradesh,district,spsr nellore,TOTAL,22541428,52210333201.53073,2021,1
andhra-pradesh,district,visakhapatnam,TOTAL,48248923,95308386037.8472,2021,1
andhra-pradesh,district,west godavari,TOTAL,16015685,42124030669.36127,2021,1
andhra-pradesh,district,ysr,TOTAL,15374473,42570919448.50447,2021,1
andhra-pradesh,district,anantapur,TOTAL,25123346,60987487571.27992,2021,2
andhra-pradesh,district,chittoor,TOTAL,34344902,73654690122.43158,2021,2
andhra-pradesh,district,east godavari,TOTAL,31717908,74604325863.66068,2021,2
andhra-pradesh,district,guntur,TOTAL,32968819,82356914463.83287,2021,2
andhra-pradesh,district,krishna,TOTAL,36370960,90021923049.96454,2021,2
andhra-pradesh,district,kurnool,TOTAL,21972396,56659287474.99581,2021,2
andhra-pradesh,district,prakasam,TOTAL,19944047,54535328043.04135,2021,2
andhra-pradesh,district,spsr nellore,TOTAL,30290406,72283071757.09679,2021,2
andhra-pradesh,district,visakhapatnam,TOTAL,54390299,114439012713.35336,2021,2
andhra-pradesh,district,west godavari,TOTAL,20950964,57233116236.18796,2021,2
andhra-pradesh,district,anantapur,TOTAL,30366444,70291248155.64975,2021,3
andhra-pradesh,district,chittoor,TOTAL,42628568,89371931753.04831,2021,3
andhra-pradesh,district,east godavari,TOTAL,39572714,89380370072.7078,2021,3
andhra-pradesh,district,guntur,TOTAL,41675093,96525353090.12305,2021,3
andhra-pradesh,district,krishna,TOTAL,44828275,104417897558.58972,2021,3
andhra-pradesh,district,kurnool,TOTAL,26377809,62527453761.59807,2021,3
andhra-pradesh,district,prakasam,TOTAL,24116580,63367713446.928055,2021,3
andhra-pradesh,district,spsr nellore,TOTAL,34411958,77839676988.30869,2021,3
andhra-pradesh,district,visakhapatnam,TOTAL,69220981,136945652159.26517,2021,3
andhra-pradesh,district,west godavari,TOTAL,26245039,66647238455.1675,2021,3
andhra-pradesh,district,anantapur,TOTAL,36129136,81239787006.64764,2021,4
andhra-pradesh,district,chittoor,TOTAL,51119640,103985734663.73514,2021,4
andhra-pradesh,district,east godavari,TOTAL,48992531,106725597026.00356,2021,4
andhra-pradesh,district,guntur,TOTAL,50919286,115553993673.17336,2021,4
andhra-pradesh,district,krishna,TOTAL,55489829,125015323207.89836,2021,4
andhra-pradesh,district,kurnool,TOTAL,31782248,73968947669.64754,2021,4
andhra-pradesh,district,prakasam,TOTAL,27858275,71323060008.47623,2021,4
andhra-pradesh,district,spsr nellore,TOTAL,41921081,92256405076.26547,2021,4
andhra-pradesh,district,visakhapatnam,TOTAL,82711538,159530099772.73474,2021,4
andhra-pradesh,district,west godavari,TOTAL,33235175,81292461575.08183,2021,4
andhra-pradesh,district,anantapur,TOTAL,40613148,90197023268.43823,2022,1
andhra-pradesh,district,chittoor,TOTAL,58561024,117900595508.634,2022,1
andhra-pradesh,district,east godavari,TOTAL,54738830,121067103712.79568,2022,1
andhra-pradesh,district,guntur,TOTAL,57226996,129673727687.08945,2022,1
andhra-pradesh,district,krishna,TOTAL,61826199,139690081529.49048,2022,1
andhra-pradesh,district,kurnool,TOTAL,35093633,81568420500.54747,2022,1
andhra-pradesh,district,prakasam,TOTAL,31340975,79494373254.71565,2022,1
andhra-pradesh,district,spsr nellore,TOTAL,47645702,104895571602.13988,2022,1
andhra-pradesh,district,visakhapatnam,TOTAL,88233362,170120350591.26004,2022,1
andhra-pradesh,district,west godavari,TOTAL,37271259,92397939903.60936,2022,1
andhra-pradesh,district,anantapur,TOTAL,46099366,102138758015.76917,2022,2
andhra-pradesh,district,chittoor,TOTAL,67507661,136435445124.75616,2022,2
andhra-pradesh,district,east godavari,TOTAL,62072845,135531452997.6391,2022,2
andhra-pradesh,district,guntur,TOTAL,66315749,147098141568.76227,2022,2
andhra-pradesh,district,krishna,TOTAL,73525814,163997729295.93127,2022,2
andhra-pradesh,district,kurnool,TOTAL,40165692,92409350855.502,2022,2
andhra-pradesh,district,prakasam,TOTAL,36163507,90435082545.97768,2022,2
andhra-pradesh,district,spsr nellore,TOTAL,54838708,121941082043.49484,2022,2
andhra-pradesh,district,visakhapatnam,TOTAL,101387402,193242841582.1428,2022,2
andhra-pradesh,district,west godavari,TOTAL,44409239,107973244960.42824,2022,2
andhra-pradesh,district,anantapur,TOTAL,45165363,97735649608.10074,2022,3
andhra-pradesh,district,chittoor,TOTAL,65751781,133053581631.63948,2022,3
andhra-pradesh,district,east godavari,TOTAL,61467134,129677722169.74828,2022,3
andhra-pradesh,district,guntur,TOTAL,65612317,141588522953.23773,2022,3
andhra-pradesh,district,krishna,TOTAL,71051144,153770559025.69122,2022,3
andhra-pradesh,district,kurnool,TOTAL,39557913,88415335176.31995,2022,3
andhra-pradesh,district,prakasam,TOTAL,35376080,87475230073.46387,2022,3
andhra-pradesh,district,spsr nellore,TOTAL,42116582,95099325968.25974,2022,3
andhra-pradesh,district,visakhapatnam,TOTAL,97434546,181124419863.61444,2022,3
andhra-pradesh,district,west godavari,TOTAL,43635951,101706854744.31876,2022,3
andhra-pradesh,district,anantapur,TOTAL,48299601,101533878537.23431,2022,4
andhra-pradesh,district,chittoor,TOTAL,70322534,136840859888.18156,2022,4
andhra-pradesh,district,east godavari,TOTAL,68016055,136531110139.86256,2022,4
andhra-pradesh,district,guntur,TOTAL,70723763,146938735166.52365,2022,4
andhra-pradesh,district,krishna,TOTAL,76526667,157826011193.35443,2022,4
andhra-pradesh,district,kurnool,TOTAL,43524766,94667441029.08344,2022,4
andhra-pradesh,district,prakasam,TOTAL,37211077,88105031866.36835,2022,4
andhra-pradesh,district,spsr nellore,TOTAL,42582064,92085916180.68507,2022,4
andhra-pradesh,district,visakhapatnam,TOTAL,103790055,185306149744.73105,2022,4
andhra-pradesh,district,west godavari,TOTAL,47919930,105335724990.59326,2022,4
andhra-pradesh,district,anantapur,TOTAL,82127373,162287796625.0,2023,1
andhra-pradesh,district,chittoor,TOTAL,120192355,218037027226.0,2023,1
andhra-pradesh,district,east godavari,TOTAL,115196449,223454724672.0,2023,1
andhra-pradesh,district,guntur,TOTAL,114246185,226244225817.0,2023,1
andhra-pradesh,district,krishna,TOTAL,122104381,238058890676.0,2023,1
andhra-pradesh,district,kurnool,TOTAL,72405172,149100361797.0,2023,1
andhra-pradesh,district,prakasam,TOTAL,63671149,141672839638.0,2023,1
andhra-pradesh,district,spsr nellore,TOTAL,71318689,143967164643.0,2023,1
andhra-pradesh,district,visakhapatnam,TOTAL,164358781,277211090180.0,2023,1
andhra-pradesh,district,west godavari,TOTAL,79094558,165941144654.0,2023,1
andhra-pradesh,district,anantapur,TOTAL,91695174,180050369328.0,2023,2
andhra-pradesh,district,chittoor,TOTAL,136283483,245550525910.0,2023,2
andhra-pradesh,district,east godavari,TOTAL,131243375,245134717109.0,2023,2
andhra-pradesh,district,guntur,TOTAL,132035450,254140764680.0,2023,2
andhra-pradesh,district,krishna,TOTAL,141748488,267001403933.0,2023,2
andhra-pradesh,district,kurnool,TOTAL,81475907,166991990104.0,2023,2
andhra-pradesh,district,prakasam,TOTAL,73598725,158428689659.0,2023,2
andhra-pradesh,district,spsr nellore,TOTAL,82056071,165181391414.0,2023,2
andhra-pradesh,district,visakhapatnam,TOTAL,184918179,303874597259.0,2023,2
andhra-pradesh,district,west godavari,TOTAL,92533269,187699526244.0,2023,2
andhra-pradesh,district,anantapur,TOTAL,104539628,192477441164.0,2023,3
andhra-pradesh,district,chittoor,TOTAL,152863845,265404757144.0,2023,3
andhra-pradesh,district,east godavari,TOTAL,148701666,260414286361.0,2023,3
andhra-pradesh,district,guntur,TOTAL,150246761,270651818044.0,2023,3
andhra-pradesh,district,krishna,TOTAL,159421907,279540224039.0,2023,3
andhra-pradesh,district,kurnool,TOTAL,92890445,172979053545.0,2023,3
andhra-pradesh,district,prakasam,TOTAL,84447202,171207298619.0,2023,3
andhra-pradesh,district,spsr nellore,TOTAL,93875073,176593750929.0,2023,3
andhra-pradesh,district,visakhapatnam,TOTAL,209884966,328927220951.0,2023,3
andhra-pradesh,district,west godavari,TOTAL,102962058,191891823401.0,2023,3
andhra-pradesh,district,anantapur,TOTAL,113698752,203367177888.0,2023,4
andhra-pradesh,district,chittoor,TOTAL,163521593,274132458092.0,2023,4
andhra-pradesh,district,east godavari,TOTAL,162793144,282329255747.0,2023,4
andhra-pradesh,district,guntur,TOTAL,160724947,281806839570.0,2023,4
andhra-pradesh,district,krishna,TOTAL,173309415,298339038877.0,2023,4
andhra-pradesh,district,kurnool,TOTAL,103816175,190597527675.0,2023,4
andhra-pradesh,district,prakasam,TOTAL,89721677,174929737360.0,2023,4
andhra-pradesh,district,spsr nellore,TOTAL,97721962,179306028468.0,2023,4
andhra-pradesh,district,visakhapatnam,TOTAL,223584765,344512874812.0,2023,4
andhra-pradesh,district,west godavari,TOTAL,114825704,209237892746.0,2023,4
andhra-pradesh,district,anantapur,TOTAL,125240418,212681689201.0,2024,1
andhra-pradesh,district,chittoor,TOTAL,179903083,289620567340.0,2024,1
andhra-pradesh,district,east godavari,TOTAL,179489444,306324309402.0,2024,1
andhra-pradesh,district,guntur,TOTAL,173636233,297371276946.0,2024,1
andhra-pradesh,district,krishna,TOTAL,186352072,316993492628.0,2024,1
andhra-pradesh,district,kurnool,TOTAL,115036343,204805909023.0,2024,1
andhra-pradesh,district,prakasam,TOTAL,99550457,187480623851.0,2024,1
andhra-pradesh,district,spsr nellore,TOTAL,108549115,190803645040.0,2024,1
andhra-pradesh,district,visakhapatnam,TOTAL,238418938,363341573689.0,2024,1
andhra-pradesh,district,west godavari,TOTAL,127602250,228733104931.0,2024,1
andhra-pradesh,district,anantapur,TOTAL,136536485,225723880453.0,2024,2
andhra-pradesh,district,chittoor,TOTAL,194201427,307619765473.0,2024,2
andhra-pradesh,district,east godavari,TOTAL,197431466,319787453310.0,2024,2
andhra-pradesh,district,guntur,TOTAL,191134818,314056718623.0,2024,2
andhra-pradesh,district,krishna,TOTAL,206843456,335127419350.0,2024,2
andhra-pradesh,district,kurnool,TOTAL,127978397,213990808953.0,2024,2
